Date,Index Value
2014-05-31,243.13
2014-06-30,236.024
2014-07-31,234.01
2014-08-31,236.12
2014-09-30,236.86
2014-10-31,237.7
2014-11-30,238.58
2014-12-31,238.5
2015-01-31,243.06
2015-02-28,242.11
2015-03-31,241.03
2015-04-30,242
2015-05-31,241.85
2015-06-30,244.08
2015-07-31,241.43
2015-08-31,241.64
2015-09-30,241.65
2015-10-31,240.213
2015-11-30,236.71
2015-12-31,238.26
2016-01-31,240.87
2016-02-29,243.7
2016-03-31,250.12
2016-04-30,252.75
2016-05-31,254.31
2016-06-30,259.71
2016-07-31,269.07
2016-08-31,276.83
2016-09-30,281.23
2016-10-31,291.36
2016-11-30,296.19
2016-12-31,297.33
2017-01-31,301.08
2017-02-28,302.26
2017-03-31,304.3
2017-04-30,302.69
2017-05-31,303.94
2017-06-30,307.1
2017-07-31,307.22
2017-08-31,308.67
2017-09-30,308.03
2017-10-31,308.93
2017-11-30,312.96
2017-12-31,312.69
2018-01-31,312.47
2018-02-28,312.16
2018-03-31,310.69
2018-04-30,311.66
2018-05-31,313.07
2018-06-30,316.62
2018-07-31,314.47
2018-08-31,315.98
2018-09-30,316.25
2018-10-31,313.94
2018-11-30,313.37
2018-12-31,312.05
2019-01-31,311.98
2019-02-28,309.76
2019-03-31,309
2019-04-30,308.55
2019-05-31,308.01
2019-06-30,309.22
2019-07-31,310.07
2019-08-31,312.37
2019-09-30,311.35
2019-10-31,308.37
2019-11-30,304.42
2019-12-31,302.56
2020-01-31,301.88
2020-02-29,302.56
2020-03-31,299.36
2020-04-30,298.46
2020-05-31,296.25
2020-06-30,295.59
2020-07-31,300.01
2020-08-31,302.26
2020-09-30,307
2020-10-31,313.99
2020-11-30,316.63
2020-12-31,318.99
2021-01-31,320.88
2021-02-28,323
2021-03-31,327.91
2021-04-30,332.86
2021-05-31,335.25
2021-06-30,337.8
2021-07-31,346.57
2021-08-31,350.93
2021-09-30,364.44
2021-10-31,372.44
2021-11-30,383
2021-12-31,393
2022-01-31,400
2022-02-28,401.41
2022-03-31,404.02
2022-04-30,406.82
2022-05-31,409.7
2022-06-30,412.5
2022-07-31,411.23
2022-08-31,416.6
2022-09-30,424.4
2022-10-31,422.06
2022-11-30,420.51
2022-12-31,419.6
2023-01-31,413.82
2023-02-28,415.3
2023-03-31,416.07
2023-04-30,416.1
2023-05-31,414
2023-06-30,405.7
2023-07-31,381.41
2023-08-31,376.55
2023-09-30,376.34
2023-10-31,369.24
2023-11-30,364.3
2023-12-31,360.37
